Localização,Inventário,Denominação do Imobilizado,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
5.92 SÃO JOÃO DA BOA VISTA,375428,CARTEIRA P/SALA DE AULA DC 1117,CADEIRA FIXA P/SALA DE AULA - AZUL,41.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (41.0%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,375432,CARTEIRA P/SALA DE AULA DC 1117,CADEIRA FIXA P/SALA DE AULA - AZUL,41.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (41.0%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,375440,CARTEIRA P/SALA DE AULA DC 1117,CADEIRA FIXA P/SALA DE AULA - AZUL,41.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (41.0%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,375441,CARTEIRA P/SALA DE AULA DC 1117,CADEIRA FIXA P/SALA DE AULA - AZUL,41.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (41.0%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,375444,CARTEIRA P/SALA DE AULA DC 1117,CADEIRA FIXA P/SALA DE AULA - AZUL,41.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (41.0%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,503798,CARTEIRA PARA SALA DE AULA DC-1117,RELÓGIO DIDÁTICO PARA SALA DE AULA,40.1%,1989-01-31 00:00:00,AVALIAR: Similaridade moderada (40.1%) com consumível 'RELÓGIO DIDÁTICO PARA SALA DE AULA...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,503808,CARTEIRA PARA SALA DE AULA DC-1117,RELÓGIO DIDÁTICO PARA SALA DE AULA,40.1%,1989-01-31 00:00:00,AVALIAR: Similaridade moderada (40.1%) com consumível 'RELÓGIO DIDÁTICO PARA SALA DE AULA...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,503822,CARTEIRA PARA SALA DE AULA DC-1117,RELÓGIO DIDÁTICO PARA SALA DE AULA,40.1%,1989-01-31 00:00:00,AVALIAR: Similaridade moderada (40.1%) com consumível 'RELÓGIO DIDÁTICO PARA SALA DE AULA...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,503879,CARTEIRA PARA SALA DE AULA DC-1117,RELÓGIO DIDÁTICO PARA SALA DE AULA,40.1%,1989-01-31 00:00:00,AVALIAR: Similaridade moderada (40.1%) com consumível 'RELÓGIO DIDÁTICO PARA SALA DE AULA...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,505596,CARTEIRA P/SALA DE AULA DC 1117,CADEIRA FIXA P/SALA DE AULA - AZUL,41.0%,1989-03-31 00:00:00,AVALIAR: Similaridade moderada (41.0%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,519171,CADEIRA DC-1307 CAPRI,CADEIRA PLÁSTICA,33.7%,1989-11-30 00:00:00,MANTER: Baixa similaridade (33.7%) com consumível 'CADEIRA PLÁSTICA...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,519176,CADEIRA DC-1307 CAPRI,CADEIRA PLÁSTICA,33.7%,1989-11-30 00:00:00,MANTER: Baixa similaridade (33.7%) com consumível 'CADEIRA PLÁSTICA...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,519177,CADEIRA DC-1307 CAPRI,CADEIRA PLÁSTICA,33.7%,1989-11-30 00:00:00,MANTER: Baixa similaridade (33.7%) com consumível 'CADEIRA PLÁSTICA...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,519181,CADEIRA DC-1307 CAPRI,CADEIRA PLÁSTICA,33.7%,1989-11-30 00:00:00,MANTER: Baixa similaridade (33.7%) com consumível 'CADEIRA PLÁSTICA...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,519188,CADEIRA DC-1307 AZUL PARIS,CADEIRA MODELO CORAL COR AZUL,37.5%,1989-11-30 00:00:00,MANTER: Baixa similaridade (37.5%) com consumível 'CADEIRA MODELO CORAL COR AZUL...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,519192,CADEIRA DC-1307 AZUL PARIS,CADEIRA MODELO CORAL COR AZUL,37.5%,1989-11-30 00:00:00,MANTER: Baixa similaridade (37.5%) com consumível 'CADEIRA MODELO CORAL COR AZUL...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,519196,CADEIRA DC-1307 AZUL PARIS,CADEIRA MODELO CORAL COR AZUL,37.5%,1989-11-30 00:00:00,MANTER: Baixa similaridade (37.5%) com consumível 'CADEIRA MODELO CORAL COR AZUL...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,519197,CADEIRA DC-1307 AZUL PARIS,CADEIRA MODELO CORAL COR AZUL,37.5%,1989-11-30 00:00:00,MANTER: Baixa similaridade (37.5%) com consumível 'CADEIRA MODELO CORAL COR AZUL...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,519229,CADEIRA P/SALA DE AULA,CADEIRA FIXA P/SALA DE AULA - AZUL,66.4%,1989-11-30 00:00:00,RECLASSIFICAR: Alta similaridade (66.4%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Forte indicação de má classificação.
5.92 SÃO JOÃO DA BOA VISTA,519288,CADEIRA P/SALA DE AULA,CADEIRA FIXA P/SALA DE AULA - AZUL,66.4%,1989-11-30 00:00:00,RECLASSIFICAR: Alta similaridade (66.4%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Forte indicação de má classificação.
5.92 SÃO JOÃO DA BOA VISTA,519305,CADEIRA P/SALA DE AULA,CADEIRA FIXA P/SALA DE AULA - AZUL,66.4%,1989-11-30 00:00:00,RECLASSIFICAR: Alta similaridade (66.4%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Forte indicação de má classificação.
5.92 SÃO JOÃO DA BOA VISTA,519313,CADEIRA P/SALA DE AULA,CADEIRA FIXA P/SALA DE AULA - AZUL,66.4%,1989-11-30 00:00:00,RECLASSIFICAR: Alta similaridade (66.4%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Forte indicação de má classificação.
5.92 SÃO JOÃO DA BOA VISTA,528771,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528790,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528803,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528805,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528809,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528818,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528825,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528829,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528833,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528839,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528843,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528848,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,534357,CARTEIRA P/SALA DE AULA DC 1117,CADEIRA FIXA P/SALA DE AULA - AZUL,41.0%,1990-12-31 00:00:00,AVALIAR: Similaridade moderada (41.0%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,534365,CARTEIRA P/SALA DE AULA DC 1117,CADEIRA FIXA P/SALA DE AULA - AZUL,41.0%,1990-12-31 00:00:00,AVALIAR: Similaridade moderada (41.0%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,607193,CADEIRA P/SALA DE AULA DC-1307,CADEIRA FIXA P/SALA DE AULA - AZUL,57.3%,1994-08-31 00:00:00,AVALIAR: Similaridade moderada (57.3%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,497254,MESA DEMONSTRACAO DE METROLOGIA DC-641,MESA P/METROLOGIA 3900X3350MM DC-1907,40.1%,1988-10-31 00:00:00,AVALIAR: Similaridade moderada (40.1%) com consumível 'MESA P/METROLOGIA 3900X3350MM DC-1907...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,528737,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528738,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528740,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528744,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528745,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528747,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528751,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528752,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528754,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528756,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528757,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528759,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528760,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528762,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528763,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,528850,CADEIRA DC-1307 PADRAO MARFIM 300,PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO,32.3%,1990-08-31 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'PRANCHETA P/CADEIRA UNIVERSITÁTIA PADRÃO...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,629088,ARMARIO P/ PROJETOR PERFIL 800X740X800MM,PLACA PADRÃO P/ PROJETOR PERFIL,42.5%,1996-09-30 00:00:00,AVALIAR: Similaridade moderada (42.5%) com consumível 'PLACA PADRÃO P/ PROJETOR PERFIL...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,429532,BALCAO TIPO B DC-866,ABRAÇADEIRA TIPO BC DE 1,36.6%,1981-12-31 00:00:00,MANTER: Baixa similaridade (36.6%) com consumível 'ABRAÇADEIRA TIPO BC DE 1...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,325733,MESA P/INSTRUTOR DC 865,MESA P/INSTRUTOR DE OFICINA DC-1915,49.7%,1978-02-28 00:00:00,AVALIAR: Similaridade moderada (49.7%) com consumível 'MESA P/INSTRUTOR DE OFICINA DC-1915...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,418055,BANCADA P/ AJUSTADOR 2 LUGARES DC 761,BANDEJA P/LÂMINAS - 20 LUGARES,30.4%,1981-05-31 00:00:00,MANTER: Baixa similaridade (30.4%) com consumível 'BANDEJA P/LÂMINAS - 20 LUGARES...'. Provavelmente corretamente classificado.
5.92 SÃO JOÃO DA BOA VISTA,488892,ARMARIO P/FERRAMENTAS TIPO BALCAO 2M,ARMÁRIO P/FERRAMENTAS DC-1674,49.2%,1988-03-31 00:00:00,AVALIAR: Similaridade moderada (49.2%) com consumível 'ARMÁRIO P/FERRAMENTAS DC-1674...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,646043,MESA P/SOLDA OXI-ACETILENICA DC 886,ÓCULOS DE PROTEÇÃO SOLDA OXI-ACETILÊNICA,50.0%,1998-09-30 00:00:00,AVALIAR: Similaridade moderada (50.0%) com consumível 'ÓCULOS DE PROTEÇÃO SOLDA OXI-ACETILÊNICA...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,442553,CADEIRA P/SALA DE AULA DC 1119,CADEIRA FIXA P/SALA DE AULA - AZUL,57.3%,1982-11-30 00:00:00,AVALIAR: Similaridade moderada (57.3%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,442846,CADEIRA P/SALA DE AULA DC 1119,CADEIRA FIXA P/SALA DE AULA - AZUL,57.3%,1982-11-30 00:00:00,AVALIAR: Similaridade moderada (57.3%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,442856,CADEIRA P/SALA DE AULA DC 1119,CADEIRA FIXA P/SALA DE AULA - AZUL,57.3%,1982-11-30 00:00:00,AVALIAR: Similaridade moderada (57.3%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,442873,CADEIRA P/SALA DE AULA DC 1119,CADEIRA FIXA P/SALA DE AULA - AZUL,57.3%,1982-11-30 00:00:00,AVALIAR: Similaridade moderada (57.3%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
5.92 SÃO JOÃO DA BOA VISTA,442951,CADEIRA P/SALA DE AULA DC 1119,CADEIRA FIXA P/SALA DE AULA - AZUL,57.3%,1982-11-30 00:00:00,AVALIAR: Similaridade moderada (57.3%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
